File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018105_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-15,705996.0,0.0,1.89,"(0.0,1.89)",0.1396,0.0588,0.0035,0.177,0.282,0.143,0.002,0.107
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018105_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-15,705996.0,0.0,0.223,"(0.0,0.223)",0.0336,0.019,0.0004,0.047,0.087,0.034,0.0,0.02
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018106_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-16,705847.0,0.0,0.63,"(0.0,0.63)",0.2353,0.0688,0.0047,0.282,0.397,0.247,0.09,0.205
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018106_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-16,705847.0,0.0,1.787,"(0.0,1.787)",0.1395,0.0584,0.0034,0.177,0.282,0.143,0.002,0.107
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018106_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-16,705847.0,0.0,0.225,"(0.0,0.225)",0.0336,0.019,0.0004,0.047,0.087,0.034,0.0,0.02
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018107_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-17,705967.0,0.0,0.63,"(0.0,0.63)",0.2364,0.0691,0.0048,0.283,0.397,0.249,0.093,0.207
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018107_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-17,705967.0,0.0,1.773,"(0.0,1.773)",0.1384,0.0582,0.0034,0.176,0.281,0.142,0.001,0.106
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018107_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-17,705967.0,0.0,0.226,"(0.0,0.226)",0.0343,0.0191,0.0004,0.047,0.086,0.034,0.0,0.021
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018108_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-18,706314.0,0.0,0.569,"(0.0,0.569)",0.2375,0.0695,0.0048,0.284,0.398,0.25,0.094,0.208
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018108_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-18,706314.0,0.0,1.53,"(0.0,1.53)",0.137,0.0582,0.0034,0.174,0.279,0.14,0.0,0.104
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018108_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-18,706314.0,0.0,0.193,"(0.0,0.193)",0.0352,0.0194,0.0004,0.049,0.089,0.035,0.0,0.022
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018109_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-19,706646.0,0.0,0.55,"(0.0,0.55)",0.2376,0.0694,0.0048,0.284,0.398,0.25,0.094,0.208
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018109_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-19,706646.0,0.0,1.546,"(0.0,1.546)",0.1372,0.0587,0.0034,0.175,0.283,0.14,0.0,0.103
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018109_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-19,706646.0,0.0,0.191,"(0.0,0.191)",0.035,0.0194,0.0004,0.048,0.088,0.035,0.0,0.021
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018110_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-20,706460.0,0.0,0.562,"(0.0,0.562)",0.2407,0.0702,0.0049,0.287,0.401,0.253,0.097,0.211
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018110_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-20,706460.0,0.0,1.545,"(0.0,1.545)",0.1399,0.0595,0.0035,0.178,0.286,0.143,0.0,0.106
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018110_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-20,706460.0,0.0,0.201,"(0.0,0.201)",0.037,0.02,0.0004,0.051,0.093,0.038,0.0,0.023
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018111_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-21,707440.0,0.0,0.561,"(0.0,0.561)",0.2407,0.0701,0.0049,0.287,0.401,0.253,0.097,0.211
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018111_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-21,707440.0,0.0,1.816,"(0.0,1.816)",0.137,0.0587,0.0034,0.175,0.283,0.14,0.0,0.103
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018111_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-21,707440.0,0.0,0.203,"(0.0,0.203)",0.0364,0.0197,0.0004,0.05,0.09,0.037,0.0,0.023
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018112_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-22,707300.0,0.0,0.554,"(0.0,0.554)",0.2426,0.0707,0.005,0.289,0.401,0.256,0.102,0.214
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018112_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-22,707300.0,0.0,1.816,"(0.0,1.816)",0.1383,0.0589,0.0035,0.176,0.282,0.141,0.0,0.105
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018112_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-22,707300.0,0.0,0.203,"(0.0,0.203)",0.0378,0.0197,0.0004,0.051,0.09,0.039,0.0,0.025
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018113_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-23,707053.0,0.0,0.554,"(0.0,0.554)",0.2426,0.0705,0.005,0.289,0.401,0.256,0.102,0.214
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018113_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-23,707053.0,0.0,1.816,"(0.0,1.816)",0.1376,0.0585,0.0034,0.175,0.281,0.14,0.0,0.104
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018113_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-23,707053.0,0.0,0.203,"(0.0,0.203)",0.0374,0.0196,0.0004,0.051,0.091,0.038,0.0,0.024
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018114_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-24,707338.0,0.0,0.555,"(0.0,0.555)",0.244,0.0709,0.005,0.291,0.405,0.257,0.101,0.215
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018114_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-24,707338.0,0.0,1.815,"(0.0,1.815)",0.1381,0.0585,0.0034,0.175,0.28,0.141,0.0,0.105
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018114_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-24,707338.0,0.0,0.203,"(0.0,0.203)",0.0383,0.0197,0.0004,0.052,0.092,0.039,0.0,0.025
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018115_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-25,706111.0,0.0,0.556,"(0.0,0.556)",0.2459,0.0717,0.0051,0.293,0.407,0.26,0.103,0.217
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018115_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-25,706111.0,0.0,2.794,"(0.0,2.794)",0.1353,0.0583,0.0034,0.172,0.277,0.137,0.0,0.102
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018115_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-25,706111.0,0.0,0.203,"(0.0,0.203)",0.0395,0.0205,0.0004,0.054,0.096,0.04,0.0,0.026
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018116_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-26,705449.0,0.0,0.551,"(0.0,0.551)",0.247,0.0716,0.0051,0.294,0.408,0.261,0.104,0.218
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018116_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-26,705449.0,0.0,2.412,"(0.0,2.412)",0.1331,0.0597,0.0036,0.171,0.28,0.134,0.0,0.098
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018116_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-26,705449.0,0.0,0.201,"(0.0,0.201)",0.0395,0.0207,0.0004,0.054,0.096,0.04,0.0,0.026
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018117_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-27,704062.0,0.0,0.546,"(0.0,0.546)",0.2494,0.0716,0.0051,0.296,0.407,0.263,0.111,0.222
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018117_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-27,704062.0,0.0,2.395,"(0.0,2.395)",0.1409,0.0664,0.0044,0.179,0.294,0.14,0.0,0.102
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018117_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-27,704062.0,0.0,0.22,"(0.0,0.22)",0.0404,0.0206,0.0004,0.055,0.097,0.041,0.0,0.027
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018118_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-28,703391.0,0.0,0.546,"(0.0,0.546)",0.2496,0.0718,0.0052,0.296,0.407,0.263,0.111,0.222
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018118_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-28,703391.0,0.0,2.379,"(0.0,2.379)",0.1399,0.0662,0.0044,0.178,0.293,0.139,0.0,0.101
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018118_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-28,703391.0,0.0,0.19,"(0.0,0.19)",0.0407,0.0209,0.0004,0.055,0.097,0.042,0.0,0.027
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018119_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-29,702319.0,0.0,0.546,"(0.0,0.546)",0.251,0.0718,0.0052,0.297,0.408,0.265,0.112,0.223
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018119_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-29,702319.0,0.0,2.362,"(0.0,2.362)",0.1408,0.0664,0.0044,0.179,0.296,0.14,0.0,0.101
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018119_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-29,702319.0,0.0,0.196,"(0.0,0.196)",0.0415,0.021,0.0004,0.056,0.098,0.043,0.0,0.028
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018120_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-30,703218.0,0.0,0.536,"(0.0,0.536)",0.2507,0.0717,0.0051,0.297,0.408,0.264,0.112,0.223
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018120_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-30,703218.0,0.0,2.347,"(0.0,2.347)",0.1417,0.0665,0.0044,0.18,0.295,0.141,0.0,0.103
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018120_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-04-30,703218.0,0.0,0.196,"(0.0,0.196)",0.0415,0.021,0.0004,0.056,0.098,0.043,0.0,0.028
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018121_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-05-01,703541.0,0.0,0.534,"(0.0,0.534)",0.2515,0.0721,0.0052,0.298,0.409,0.265,0.113,0.224
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018121_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-05-01,703541.0,0.0,2.35,"(0.0,2.35)",0.1414,0.0664,0.0044,0.179,0.293,0.141,0.0,0.103
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018121_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-05-01,703541.0,0.0,0.19,"(0.0,0.19)",0.0423,0.0212,0.0004,0.057,0.1,0.043,0.0,0.028
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018122_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-05-02,704577.0,0.0,0.581,"(0.0,0.581)",0.2511,0.0717,0.0051,0.297,0.406,0.265,0.115,0.224
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018122_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-05-02,704577.0,0.0,2.502,"(0.0,2.502)",0.1447,0.0676,0.0046,0.183,0.298,0.145,0.0,0.106
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018122_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-05-02,704577.0,0.0,0.19,"(0.0,0.19)",0.0418,0.0212,0.0004,0.056,0.098,0.043,0.0,0.028
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018123_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-05-03,704365.0,0.0,0.582,"(0.0,0.582)",0.2513,0.0716,0.0051,0.298,0.409,0.265,0.113,0.224
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018123_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-05-03,704365.0,0.0,2.481,"(0.0,2.481)",0.1448,0.0677,0.0046,0.183,0.298,0.145,0.0,0.106
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018123_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-05-03,704365.0,0.0,0.19,"(0.0,0.19)",0.0418,0.0212,0.0005,0.056,0.098,0.043,0.0,0.028
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018124_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-05-04,703410.0,0.0,0.588,"(0.0,0.588)",0.2515,0.0713,0.0051,0.297,0.405,0.265,0.117,0.225
